3.284833,0.146800,0.068200,1.220656,0.840854
3.284833,0.146800,0.068200,1.220656,1.933180
3.284833,0.146800,0.068200,1.220656,3.074278
3.284833,0.146800,0.093300,1.220656,0.614643
3.284833,0.146800,0.093300,1.220656,1.413107
3.284833,0.146800,0.093300,1.220656,2.247221
3.284833,0.146800,0.093300,1.220656,3.153698
3.284833,0.146800,0.093300,1.220656,4.085584
3.284833,0.146800,0.119400,1.220656,0.480287
3.284833,0.146800,0.119400,1.220656,1.104212
3.284833,0.146800,0.119400,1.220656,1.755995
3.284833,0.146800,0.119400,1.220656,2.464322
3.284833,0.146800,0.119400,1.220656,3.192504
3.284833,0.146800,0.119400,1.220656,4.001932
3.284833,0.146800,0.146800,1.220656,0.390642
3.284833,0.146800,0.146800,1.220656,0.898112
3.284833,0.146800,0.146800,1.220656,1.428241
3.284833,0.146800,0.146800,1.220656,2.004360
3.284833,0.146800,0.146800,1.220656,2.596628
3.284833,0.146800,0.146800,1.220656,3.254977
3.284833,0.146800,0.146800,1.220656,3.975173
3.284833,0.146800,0.175300,1.220656,0.327132
3.284833,0.146800,0.175300,1.220656,0.752099
3.284833,0.146800,0.175300,1.220656,1.196040
3.284833,0.146800,0.175300,1.220656,1.678494
3.284833,0.146800,0.175300,1.220656,2.174472
3.284833,0.146800,0.175300,1.220656,2.725788
3.284833,0.146800,0.175300,1.220656,3.328896
3.284833,0.146800,0.175300,1.220656,4.027464
3.284833,0.146800,0.205100,1.220656,0.279601
3.284833,0.146800,0.205100,1.220656,0.642823
3.284833,0.146800,0.205100,1.220656,1.022261
3.284833,0.146800,0.205100,1.220656,1.434617
3.284833,0.146800,0.205100,1.220656,1.858532
3.284833,0.146800,0.205100,1.220656,2.329745
3.284833,0.146800,0.205100,1.220656,2.845224
3.284833,0.146800,0.205100,1.220656,3.442294
3.284833,0.146800,0.236200,1.220656,0.242787
3.284833,0.146800,0.236200,1.220656,0.558183
3.284833,0.146800,0.236200,1.220656,0.887662
3.284833,0.146800,0.236200,1.220656,1.245724
3.284833,0.146800,0.236200,1.220656,1.613823
3.284833,0.146800,0.236200,1.220656,2.022992
3.284833,0.146800,0.236200,1.220656,2.470599
3.284833,0.146800,0.236200,1.220656,2.989053
3.284833,0.146800,0.236200,1.220656,3.594590
3.284833,0.146800,0.268600,1.220656,0.490852
3.284833,0.146800,0.268600,1.220656,0.780587
3.284833,0.146800,0.268600,1.220656,1.095458
3.284833,0.146800,0.268600,1.220656,1.419155
3.284833,0.146800,0.268600,1.220656,1.778967
3.284833,0.146800,0.268600,1.220656,2.172582
3.284833,0.146800,0.268600,1.220656,2.628498
3.284833,0.146800,0.268600,1.220656,3.160991
3.284833,0.146800,0.302500,1.220656,0.435844
3.284833,0.146800,0.302500,1.220656,0.693110
3.284833,0.146800,0.302500,1.220656,0.972694
3.284833,0.146800,0.302500,1.220656,1.260116
3.284833,0.146800,0.302500,1.220656,1.579606
3.284833,0.146800,0.302500,1.220656,1.929109
3.284833,0.146800,0.302500,1.220656,2.333932
3.284833,0.146800,0.302500,1.220656,2.806751
3.284833,0.146800,0.337900,1.220656,0.390183
3.284833,0.146800,0.337900,1.220656,0.620496
