3.284833,0.175300,0.337900,1.220656,2.089418
3.284833,0.175300,0.337900,1.220656,2.512702
3.284833,0.175300,0.374800,1.220656,0.153005
3.284833,0.175300,0.374800,1.220656,0.351769
3.284833,0.175300,0.374800,1.220656,0.559407
3.284833,0.175300,0.374800,1.220656,0.785059
3.284833,0.175300,0.374800,1.220656,1.017036
3.284833,0.175300,0.374800,1.220656,1.274895
3.284833,0.175300,0.374800,1.220656,1.556978
3.284833,0.175300,0.374800,1.220656,1.883710
3.284833,0.175300,0.374800,1.220656,2.265320
3.284833,0.175300,0.413400,1.220656,0.138719
3.284833,0.175300,0.413400,1.220656,0.318923
3.284833,0.175300,0.413400,1.220656,0.507174
3.284833,0.175300,0.413400,1.220656,0.711756
3.284833,0.175300,0.413400,1.220656,0.922073
3.284833,0.175300,0.413400,1.220656,1.155856
3.284833,0.175300,0.413400,1.220656,1.411600
3.284833,0.175300,0.413400,1.220656,1.707824
3.284833,0.175300,0.413400,1.220656,2.053803
3.284833,0.175300,0.453700,1.220656,0.290595
3.284833,0.175300,0.453700,1.220656,0.462124
3.284833,0.175300,0.453700,1.220656,0.648534
3.284833,0.175300,0.453700,1.220656,0.840170
3.284833,0.175300,0.453700,1.220656,1.053186
3.284833,0.175300,0.453700,1.220656,1.286214
3.284833,0.175300,0.453700,1.220656,1.556126
3.284833,0.175300,0.453700,1.220656,1.871373
3.284833,0.175300,0.495800,1.220656,0.265920
3.284833,0.175300,0.495800,1.220656,0.422884
3.284833,0.175300,0.495800,1.220656,0.593465
3.284833,0.175300,0.495800,1.220656,0.768828
3.284833,0.175300,0.495800,1.220656,0.963757
3.284833,0.175300,0.495800,1.220656,1.176998
3.284833,0.175300,0.495800,1.220656,1.423990
3.284833,0.175300,0.495800,1.220656,1.712469
3.284833,0.175300,0.539700,1.220656,0.244289
3.284833,0.175300,0.539700,1.220656,0.388486
3.284833,0.175300,0.539700,1.220656,0.545192
3.284833,0.175300,0.539700,1.220656,0.706291
3.284833,0.175300,0.539700,1.220656,0.885363
3.284833,0.175300,0.539700,1.220656,1.081259
3.284833,0.175300,0.539700,1.220656,1.308161
3.284833,0.175300,0.539700,1.220656,1.573174
3.284833,0.175300,0.585500,1.220656,0.225180
3.284833,0.175300,0.585500,1.220656,0.358097
3.284833,0.175300,0.585500,1.220656,0.502545
3.284833,0.175300,0.585500,1.220656,0.651042
3.284833,0.175300,0.585500,1.220656,0.816107
3.284833,0.175300,0.585500,1.220656,0.996679
3.284833,0.175300,0.585500,1.220656,1.205832
3.284833,0.175300,0.585500,1.220656,1.450115
3.284833,0.175300,0.633400,1.220656,0.208151
3.284833,0.175300,0.633400,1.220656,0.331016
3.284833,0.175300,0.633400,1.220656,0.464541
3.284833,0.175300,0.633400,1.220656,0.601808
3.284833,0.175300,0.633400,1.220656,0.754390
3.284833,0.175300,0.633400,1.220656,0.921306
3.284833,0.175300,0.633400,1.220656,1.114642
3.284833,0.175300,0.633400,1.220656,1.340452
3.284833,0.175300,0.683400,1.220656,0.192922
3.284833,0.175300,0.683400,1.220656,0.306798
3.284833,0.175300,0.683400,1.220656,0.430553
3.284833,0.175300,0.683400,1.220656,0.557777
3.284833,0.175300,0.683400,1.220656,0.699196
3.284833,0.175300,0.683400,1.220656,0.853900
3.284833,0.175300,0.683400,1.220656,1.033091
3.284833,0.175300,0.683400,1.220656,1.242379
3.284833,0.175300,0.735500,1.220656,0.179256
3.284833,0.175300,0.735500,1.220656,0.285066
3.284833,0.175300,0.735500,1.220656,0.400054
3.284833,0.175300,0.735500,1.220656,0.518267
3.284833,0.175300,0.735500,1.220656,0.649668
3.284833,0.175300,0.735500,1.220656,0.793413
3.284833,0.175300,0.735500,1.220656,0.959911
3.284833,0.175300,0.790000,1.220656,0.265400
3.284833,0.175300,0.790000,1.220656,0.372456
3.284833,0.175300,0.790000,1.220656,0.482513
3.284833,0.175300,0.790000,1.220656,0.604849
3.284833,0.175300,0.790000,1.220656,0.738678
3.284833,0.175300,0.790000,1.220656,0.893689
3.284833,0.175300,0.846900,1.220656,0.247568
3.284833,0.175300,0.846900,1.220656,0.347432
3.284833,0.175300,0.846900,1.220656,0.450094
3.284833,0.175300,0.846900,1.220656,0.564211
3.284833,0.175300,0.846900,1.220656,0.689049
3.284833,0.175300,0.068200,1.319091,0.778106
3.284833,0.175300,0.068200,1.319091,1.788920
3.284833,0.175300,0.068200,1.319091,2.844865
3.284833,0.175300,0.093300,1.319091,0.568777
3.284833,0.175300,0.093300,1.319091,1.307656
